library,term,pvalue,odds_ratio,combined_score,overlap_genes,adj_pvalue
Reactome_2022,MAPK6/MAPK4 Signaling R-HSA-5687128,0.4472017530075081,1.7095937770095073,1.3757877914896541,FOXO3,0.5632329631361552
KEGG_2021_Human,Hypertrophic cardiomyopathy,0.4472017530075081,1.7095937770095073,1.3757877914896541,CACNB2,0.5730814397719644
Reactome_2022,Regulation Of TP53 Activity Thru Phosphorylation R-HSA-6804756,0.4472017530075081,1.7095937770095073,1.3757877914896541,BRCA1,0.5632329631361552
Reactome_2022,Collagen Formation R-HSA-1474290,0.4472017530075081,1.7095937770095073,1.3757877914896541,COL1A1,0.5632329631361552
Reactome_2022,Chaperonin-mediated Protein Folding R-HSA-390466,0.4472017530075081,1.7095937770095073,1.3757877914896541,TUBA4A,0.5632329631361552
GO_Biological_Process_2023,Protein Stabilization (GO:0050821),0.3961826790988379,1.479867539700459,1.3701795552758316,PER3;SOX4,0.46513858068201686
Reactome_2022,Signaling By ROBO Receptors R-HSA-376176,0.3984863864837628,1.4726435231996404,1.3549527145151752,FLRT3;LDB2,0.5369333183436804
Reactome_2022,EPH-Ephrin Signaling R-HSA-2682334,0.45083894134441127,1.6905128205128206,1.346738785032599,DNM1,0.5632329631361552
Reactome_2022,Signaling By TGF-beta Receptor Complex R-HSA-170834,0.45083894134441127,1.6905128205128206,1.346738785032599,TGFBR2,0.5632329631361552
Reactome_2022,HCMV Late Events R-HSA-9610379,0.45083894134441127,1.6905128205128206,1.346738785032599,CEBPD,0.5632329631361552
Reactome_2022,Activation Of HOX Genes During Differentiation R-HSA-5619507,0.45083894134441127,1.6905128205128206,1.346738785032599,EGR2,0.5632329631361552
GO_Biological_Process_2023,Regulation Of Epithelial Cell Proliferation (GO:0050678),0.45083894134441127,1.6905128205128206,1.346738785032599,DUSP10,0.5052272882064989
GO_Biological_Process_2023,Positive Regulation Of MAP Kinase Activity (GO:0043406),0.45083894134441127,1.6905128205128206,1.346738785032599,NEK10,0.5052272882064989
KEGG_2021_Human,Small cell lung cancer,0.45445237990743537,1.6718512256973797,1.318525774673755,GADD45B,0.5740451114620236
Reactome_2022,Class B/2 (Secretin Family Receptors) R-HSA-373080,0.45445237990743537,1.6718512256973797,1.318525774673755,FZD8,0.5645842937011593
GO_Biological_Process_2023,Sensory Perception Of Sound (GO:0007605),0.45445237990743537,1.6718512256973797,1.318525774673755,COL1A1,0.5074916208642303
GO_Biological_Process_2023,B Cell Activation (GO:0042113),0.45445237990743537,1.6718512256973797,1.318525774673755,VCAM1,0.5074916208642303
Reactome_2022,Neutrophil Degranulation R-HSA-6798695,0.3676106528102244,1.3172006516426826,1.3181634062010625,SERPINA3;RAP2B;STOM;AP1M1,0.5221476151380894
KEGG_2021_Human,Human immunodeficiency virus 1 infection,0.40537324901120714,1.4513842746400887,1.3105231256809875,SAMHD1;AP1M1,0.5536805352348195
Reactome_2022,G Alpha (Q) Signaling Events R-HSA-416476,0.40537324901120714,1.4513842746400887,1.3105231256809875,TRPC6;RASGRP2,0.5397458587730091
GO_Biological_Process_2023,Regulation Of Peptidyl-Serine Phosphorylation (GO:0033135),0.4580422225383953,1.6535953177257525,1.2911171539636295,LIF,0.5102472330358339
Reactome_2022,Oxidative Stress Induced Senescence R-HSA-2559580,0.4580422225383953,1.6535953177257525,1.2911171539636295,PHC2,0.5658914993133637
